task,scenario,mode,selected_route,selected_length_m,risk_integral,unknown_length_m,abstract_data_gate_permits,unsafe_route_selected,hazardous_route_permitted,hazardous_exposure_m,safe_task_rejected,safe_detour_ratio
flat_control_rot3_reverse,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_forward,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_forward,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_forward,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_forward,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_forward,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_forward,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_reverse,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_reverse,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_reverse,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_reverse,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_reverse,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot4_reverse,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_forward,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_forward,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_forward,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_forward,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_forward,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_forward,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_reverse,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_reverse,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_reverse,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_reverse,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_reverse,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot5_reverse,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_forward,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_forward,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_forward,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_forward,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_forward,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_forward,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_reverse,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_reverse,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_reverse,flat_control,ht_w0.5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_reverse,flat_control,ht_w1,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_reverse,flat_control,ht_w2,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot6_reverse,flat_control,ht_w5,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_forward,flat_control,baseline,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
flat_control_rot7_forward,flat_control,ht_w0,0,10.0,0.5129330693589698,0.0,True,False,False,0,False,1.0
