source,height_bias,accuracy
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-15-56-Sunday/ht_result_dict.txt,0.0,0.8752766816674594
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-10.0,0.8752756215903977
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-9.5,0.8752793318866515
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-9.0,0.8752809224609746
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-8.5,0.8752798622171019
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-8.0,0.8752830424558691
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-7.5,0.8752819823408958
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-7.0,0.8752798619062265
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-6.5,0.8752835725361026
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-6.0,0.8752841024040311
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-5.5,0.8752856925082501
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-5.0,0.8752835725133556
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-4.5,0.8752851625038397
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-4.0,0.8752825120875072
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-3.5,0.8752851626327393
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-3.0,0.8752851626630685
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-2.5,0.8752841024419428
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-2.0,0.8752819819921089
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-1.5,0.8752825122770652
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-1.0,0.8752825124514587
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,-0.5,0.8752819823257312
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,0.0,0.8752819822271609
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,0.5,0.8752814520559394
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,1.0,0.875281982136173
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,1.5,0.8752819822347433
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,2.0,0.8752841025556776
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,2.5,0.8752846329164572
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,3.0,0.8752798619517205
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,3.5,0.8752830424103751
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,4.0,0.8752814523364855
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,4.5,0.8752841022902963
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,5.0,0.8752825120799248
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,5.5,0.8752825120495955
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,6.0,0.8752809222107579
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,6.5,0.8752798625128124
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,7.0,0.8752788020945462
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,7.5,0.87527774200232
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,8.0,0.8752788019277351
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,8.5,0.875278801829165
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,9.0,0.8752788019277351
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,9.5,0.8752798618304033
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_no_noise_noaddCEloss_ht_traversability_new_F_student_grad_res_c_16_reduce_optimizer_type_adam_lr_decay_type__UnFreeze_Epoch_1_time_2025-02-16-17-31-42-Sunday/ht_result_dict.txt,10.0,0.8752782719384895
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-15-45-01-Sunday/ht_result_dict.txt,0.0,0.8929153094462541
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-10.0,0.8929110681324647
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-9.5,0.8928728963083605
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-9.0,0.8928644136807817
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-8.5,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-8.0,0.8928813789359392
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-7.5,0.8928856202497285
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-7.0,0.8928728963083605
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-6.5,0.8928856202497285
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-6.0,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-5.5,0.8928728963083605
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-5.0,0.8928983441910966
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-4.5,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-4.0,0.8928686549945711
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-3.5,0.8928813789359392
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-3.0,0.8928771376221498
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-2.5,0.892902585504886
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-2.0,0.8928728963083605
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-1.5,0.8928983441910966
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-1.0,0.8928941028773073
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,-0.5,0.8928771376221498
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,0.0,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,0.5,0.892902585504886
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,1.0,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,1.5,0.892902585504886
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,2.0,0.8928856202497285
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,2.5,0.8928983441910966
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,3.0,0.8928771376221498
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,3.5,0.8928771376221498
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,4.0,0.8928941028773073
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,4.5,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,5.0,0.8928856202497285
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,5.5,0.8929110681324647
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,6.0,0.8928856202497285
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,6.5,0.8928856202497285
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,7.0,0.8928898615635179
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,7.5,0.8928686549945711
train_data/sum_train_hunter_se_infer/height_bias-train_backbone_nonoiseht_vit_b_16_grad_1_optimizer_type_adam_lr_decay_type_cos_UnFreeze_Epoch_1_time_2025-02-16-16-00-23-Sunday/ht_result_dict.txt,8.0,0.8928813789359392
